,,,,,,
,,,,,,


Dog Name,Mon 1,Tue 2,Wed 3,Thu 4,Fri 5,Notes
Maya ,CA$30.00,,CA$30.00,,,
Finn,,,CA$30.00,,CA$30.00,
Denver ,CA$30.00,,CA$30.00,,,
Huxley,,,,CA$30.00,,
Halle,,,,,,
Jude ,CA$30.00,,CA$30.00,,,
Navi,,CA$30.00,,,CA$30.00,
Nala,,CA$30.00,,CA$30.00,,
Weski,,,,CA$30.00,,
Cali,,,,CA$30.00,,
Loki,,,,,CA$25.00,
Harris,CA$30.00,,CA$30.00,,,
Lily GR,,,,,CA$30.00,
Ruthie,,,,,CA$30.00,
Luna ,,,,,CA$30.00,
Finn GR,,CA$30.00,,CA$30.00,,
Sadie,,CA$30.00,,CA$30.00,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Week Total,,,,,,CA$745.00

Dog Name,Mon 8,Tue 9,Wed 10,Thu 11,Fri 12,Notes
Maya ,missed e-transfer ,,away,,,
Finn,CA$30.00,,,CA$30.00,,
Denver ,CA$30.00,,CA$30.00,,,
Huxley,,,,CA$30.00,,
Halle,,,,,,
Jude ,CA$30.00,,CA$30.00,CA$30.00,,
Navi,,CA$30.00,,,CA$30.00,
Nala,,CA$30.00,,CA$30.00,,
Weski,,,,CA$30.00,,
Cali,,,,CA$30.00,,
Loki,,,,,CA$30.00,
Harris,CA$30.00,,CA$30.00,,,
Lily GR,,,,,X,
Ruthie,,,,,CA$30.00,
Luna ,,,,,CA$30.00,
Finn GR,,CA$30.00,,CA$30.00,,
Sadie,,CA$30.00,,CA$30.00,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Week Total,,,,,,CA$690.00

Dog Name,Mon 15,Tue 16,Wed 17,Thu 18,Fri 19,Notes
Maya ,CA$30.00,,CA$30.00,,CA$30.00,
Finn,CA$30.00,,,,CA$30.00,
Denver ,CA$30.00,,switched,CA$30.00,,
Huxley,,,,,,
Halle,,,,,,
Jude ,CA$30.00,,CA$30.00,,,
Navi,,CA$30.00,,,CA$30.00,
Nala,,CA$30.00,,CA$30.00,CA$30.00,
Weski,,,,CA$30.00,,
Cali,,,,CA$30.00,,
Loki,,,,,CA$30.00,
Harris,CA$30.00,,CA$30.00,,,
Lily GR,,,,,,
Ruthie,,,,,CA$30.00,
Luna ,,,,,,
Finn GR,,CA$30.00,,CA$30.00,,
Sadie,,CA$30.00,,CA$30.00,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Week Total,,,,,,CA$720.00

Dog Name,Mon 22,Tue 23,Wed 24,Thu 25,Fri 26,Notes
Maya ,CA$30.00,,CA$30.00,,,
Finn,CA$30.00,,,,,
Denver ,CA$30.00,,Away,,,
Huxley,,,,,,
Halle,,,,,,
Jude ,CA$30.00,,,,,
Navi,,CA$30.00,,,CA$30.00,
Nala,CA$30.00,,,,,
Weski,,,,,,
Cali,,CA$30.00,,,,
Loki,,,,,,
Harris,CA$30.00,,CA$30.00,,,
Lily GR,,,,,,
Ruthie,,,,,CA$30.00,
Luna ,,,,,,
Finn GR,,,,,,
Sadie,,CA$30.00,,CA$30.00,,
,,,,,,
,,,,,,
,,,,,,
Week Total,,,,,,CA$420.00

Month Subtotal,"CA$2,725.00"
+HST,CA$381.50
Month Total,"CA$3,106.50"
YTD Subtotal,"CA$38,712.00"
Year-End HST,"CA$5,527.25"
Year-End Total,"CA$44,239.25"

Dog Name,Mon 29,Tue 30,Wed 31,,,Notes
Maya ,CA$30.00,,CA$30.00,,CA$30.00,Jan 3
Finn,,CA$30.00,,,,
Denver ,,,,,,
Huxley,,,,,,
Halle,,,,,,
Jude ,,,,,,
Navi,,CA$30.00,,,,
Nala,,,,,,
Weski,,,,,,
Cali,,,,,,
Loki,,,,,,
Harris,Off,This,,Week,,
Lily GR,,,,,,
Ruthie,,,,,,
Luna ,,,,,,
Finn GR,,,,,,
Sadie,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Week Total,,,,,,CA$150.00
